Model,Reasoning,Addition,Multiplication,Division,Mean,Std,MinMax,Interval,Sorting,Exponentiation
GPT OSS 120B,maximal,97.6,95.8,80.0,95.6,46.6,99.2,100.0,99.0,56.0
Qwen3 235B 2507,maximal,98.7,88.0,77.8,94.5,48.8,100.0,100.0,99.8,56.9
Qwen3 235B 2507,none,87.5,39.0,46.4,59.4,12.5,95.8,98.6,98.8,21.7
DeepSeek v3.1,maximal,97.0,85.3,84.2,95.0,40.9,99.8,99.8,99.6,48.6
DeepSeek v3.1,none,94.1,38.5,40.8,66.2,15.5,99.8,81.4,99.6,21.0
Kimi K2 0905,none,89.6,44.5,46.8,67.4,13.6,99.6,96.8,98.4,19.9
Llama 4 Maverick,none,79.1,33.3,35.8,60.0,11.8,99.4,76.0,95.6,20.1
GPT 5,maximal,100.0,99.5,96.7,96.1,74.4,100.0,100.0,99.8,78.6
GPT 5,minimal,93.7,30.9,29.5,58.2,16.5,98.8,92.4,98.4,19.0
Gemini 2.5 Pro,maximal,97.4,64.3,74.8,94.3,29.9,100.0,100.0,99.8,45.0
Gemini 2.5 Pro,minimal,99.6,43.4,51.3,81.9,13.0,100.0,99.6,100.0,25.5
Gemini 2.5 Flash,maximal,96.4,44.9,56.3,91.6,27.5,100.0,100.0,100.0,28.9
Gemini 2.5 Flash,none,92.8,32.8,45.2,67.6,13.6,100.0,99.2,99.8,20.3
